id,name,meals,tags,taste,speed,menus,tip
p_kimchi1,본가김치찌개(안양3동),lunch,김치찌개,5,4,"김치찌개정식,계란말이,공기밥",안양3동 배민 한식 상위권
p_kimchi2,찌개마을 범계점,lunch,김치찌개,4,5,"김치찌개,된장찌개,제육추가",배달 빠름
p_kimchi3,열정김치찌개,lunch,김치찌개,4,4,"직화김치찌개,라면사리",맵기 조절 가능
p_bibim1,돌솥비빔당(안양),lunch,비빔밥,5,4,"돌솥비빔밥,야채비빔밥,육회비빔밥",배민 평점 높은 비빔밥
p_bibim2,한그릇비빔,lunch,비빔밥,4,5,"열무비빔밥,참치비빔밥",포장·배달 깔끔
p_bibim3,나물향비빔밥,lunch,비빔밥,4,3,"나물비빔밥,고추장비빔밥",건강한 맛
p_jeyuk1,제육의정석 안양점,lunch,제육볶음,5,4,"제육덮밥,제육정식,계란찜",안양3동 근처 배달
p_jeyuk2,매콤제육하우스,lunch,제육볶음,4,5,"제육볶음,쌈채소세트",스피드 좋음
p_jeyuk3,고기의신 제육,lunch,제육볶음,4,3,"직화제육,된장찌개",불맛 강함
p_don1,안양왕돈까스,lunch,돈까스,5,4,"등심돈까스,치즈돈까스",3동 인근 인기
p_don2,카츠공방 평촌,lunch,돈까스,4,4,"히레까스,커리돈까스",평점 안정
p_don3,경양식돈까스집,lunch,돈까스,4,5,"경양식돈까스,함박스테이크",배달 빠름
p_kal1,바지락칼국수골목,lunch,칼국수,5,3,"바지락칼국수,왕만두",국물 시원
p_kal2,면면칼국수 안양,lunch,칼국수,4,4,"들깨칼국수,김치칼국수",든든한 한 끼
p_kal3,손칼국수명가,lunch,칼국수,4,5,"손칼국수,보쌈정식",배달 스피드
p_jja1,중국요리 영흥관,"lunch,dinner,late",짜장면,3,5,"짜장면,고기짬뽕밥,탕수육",안양3동 배달 단골
p_jja2,홍콩반점0410 안양점,lunch,짜장면,4,5,"짜장면,짬뽕,탕수육",배민 중식 상위
p_jja3,현지맛짜장,lunch,짜장면,4,4,"간짜장,삼선짬뽕",불맛 짜장
p_sam1,삼겹의품격(안양),dinner,삼겹살,5,3,"삼겹살,목살,된장찌개",저녁 고기 상위
p_sam2,돼지야저녁,dinner,삼겹살,4,4,"삼겹살세트,항정살",배달 포장 깔끔
p_sam3,고기굽는집 3동,dinner,삼겹살,4,2,"삼겹살,비빔면",맛 우선
p_chi1,BBQ 안양호계점,"dinner,late",치킨,5,4,"황금올리브,양념치킨",배민 치킨 상위
p_chi2,교촌치킨 안양3동,"dinner,late",치킨,4,4,"허니콤보,레드콤보",야근 단골
p_chi3,굽네치킨 평촌,"dinner,late",치킨,4,5,"고추바사삭,갈비천왕",배달 빠름
p_piz1,도미노피자 안양점,"dinner,late,snack",피자,4,5,"페퍼로니,슈퍼슈프림",스피드·평점 안정
p_piz2,피자헛 범계,"dinner,late",피자,4,4,"미트미트,슈퍼슈프림",세트 구성
p_piz3,반올림피자 안양,"dinner,late,snack",피자,5,4,"불고기피자,포테이토",로컬 인기
p_jok1,가장맛있는족발 안양,"dinner,late","족발,족발·보쌈",5,3,"앞다리족발,보쌈,막국수",배민 족발 상위
p_jok2,원할머니보쌈 평촌,"dinner,late","족발,족발·보쌈",4,4,"보쌈정식,족발세트",양 푸짐
p_jok3,장충동왕족발 3동,"dinner,late","족발,족발·보쌈",4,3,"왕족발,쟁반국수",야식 단골
p_jjim1,둘둘치킨아님 안동찜닭,"dinner,late",찜닭,5,3,"안동찜닭,순살찜닭",찜닭 평점 상위
p_jjim2,찜닭의신 범계,dinner,찜닭,4,4,"찜닭,당면사리,떡사리",매운맛 조절
